mrnNum,itemName,vehicleMachinery,reqQty,recQty,hasUnpriced,importStatus,errorMessage
166917,Safety Shoe (42),Machanical Forman Dilip (ECS 2047),1,1,1,imported,
166917,Over Roll Kit (XL),Machanic Kumara,1,1,1,imported,
166917,Safety Shoe (43),Machanic Kumara,1,1,1,imported,
167072,Air Filter,GE-102,1,1,1,imported,
167072,Fuel Filter (F-6241304),GE-102,1,1,1,imported,
167072,Oil Filter (C-1804),GE-102,1,1,1,imported,
140442,95Ah New Battery,GE-66,1,0,0,imported,
140441,95Ah New Battery,GE-102,1,0,0,imported,
140440,65Ah New Battery,SMG-01,2,0,0,imported,
140439,95Ah New Battery,HEX-21,2,0,0,imported,
